Title,Year,Runtime,Genre,Budget,Revenue,Personal,IMDb,Rotten_Tomatoes,Metacritic,Filmaffinity,Fans
Oppenheimer,2023,180,Drama,100,976,95,83,93,93,86,80.68421053
Pacific Rim,2013,131,Action,190,411.1,83,69,72,64,59,77
Pulp Fiction,1994,154,Crime,8,200,83,88,92,94,88,71.10526316
Ratatouille,2007,111,Animation,150,623,91,81,96,96,80,80.83333333
Mickey 17,2025,139,SciFi,118,130,74,82,77,70,60,70.66666667
Scarface,1983,165,Crime,25,65.7,89,83,79,65,82,65.15789474
Scream,1996,111,Horror,15,173,73,74,77,66,58,74.94444444
Se7En,1995,127,Thriller,33,327,90,86,81,86,86,84.16666667
Shrek,2001,89,Comedy,60,492,99,79,88,84,78,79.6875
Shutter Island,2010,138,Thriller,80,294,69,82,68,65,78,74.73684211
Spider-Man: Across The Spider-Verse,2018,140,Animation,150,690,90,85,94,87,82,66.1875
Spider-Man: Into The Spider-Verse,2023,117,Animation,90,394,90,84,97,87,85,71.05
Star Wars: Episode Iii - Revenge Of The Sith,2005,140,SciFi,113,902.9,93,76,79,68,71,71.85
Star Wars: Episode Iv - A New Hope,1977,121,SciFi,11,775,85,86,94,90,79,60.16666667
Spirited Away,2001,125,Animation,19,396,95,86,97,96,90,72.66666667
Taxi Driver,1976,114,Crime,1.3,28.5,75,82,89,94,81,79.89473684
There Will Be Blood,2007,158,Western,25,76.2,56,82,91,93,79,73.92857143
Ted,2012,106,Comedy,65,550,87,69,69,62,55,74
Terminator 1,1984,107,Action,6.4,78.4,79,81,100,84,75,64.29411765
The Batman,2022,176,Action,200,772,70,78,85,72,74,76.22222222
The Breakfast Club,1985,97,Comedy,6,51.5,65,78,89,66,72,60.11764706
The Fantastic Four: First Steps,2025,115,SciFi,200,493,82,73,87,65,65,69.10526316
The Godfather,1972,175,Crime,6.5,291,99,92,97,100,89,78.4
The Grand Budapest Hotel,2014,99,Comedy,25,174,100,81,91,88,84,75.875
The Hunt,2020,90,Action,14,12,78,83,93,76,76,76.35294118
The Hurt Locker,2008,131,Suspense,15,49.2,74,75,97,95,69,61.76470588
The Imitation Game,2014,116,Suspense,14,233.6,56,80,90,71,73,64.52941176
The Joker (2019),2019,122,Suspense,55,1074.3,84,83,69,59,79,69.72222222
The King'S Speech,2010,118,Drama,15,432.4,78,80,94,88,73,67.6875
The Light House,2019,110,Horror,4,18.1,65,74,90,83,67,74.66666667
The Lion King,1994,129,Family,45,968.5,89,85,93,88,76,66.66666667
The Martian,2015,151,SciFi,108,630.2,76,80,91,80,74,69.72222222
The Matrix,1999,136,SciFi,63,460,70,87,87,73,88,68
The Menu,2022,107,Horror,30,79,60,72,77,75,70,67.89473684
The Perks Of Being A Wallflower,2012,103,Drama,13,33,75,79,85,67,80,69.36842105
The Prestige,2006,130,Suspense,40,109.7,76,85,76,66,77,60.6
The Revenant,2015,156,Western,135,532.9,79,80,78,76,72,62.84210526
The Shape Of Water,2017,123,Romance,19.5,195.2,80,73,92,87,67,65.11111111
The Shining,1980,146,Horror,19,45,70,84,82,66,86,74.36842105
The Substance,2024,141,Horror,18,82,80,72,92,84,72,58.25
The Theory Of Everything,2014,123,Romance,15,123.7,72,77,81,72,68,78.94736842
The Thing,1982,109,Horror,15,20,71,82,85,57,73,71.47368421
The Truman Show,1998,103,Drama,60,264,65,82,95,90,84,72
The Wolf Of Wall Street,2013,180,Crime,100,389,90,82,80,75,84,75.11764706
Toy Story,1995,81,Animation,30,362,97,83,100,96,77,79.61111111
Toy Story 2,1999,92,Animation,90,511.4,98,79,100,88,71,73.1
Toy Story 3,2010,103,Animation,200,1067,89,83,98,92,79,64.82352941
Toy Story 4,2019,100,Animation,200,1073,83,76,96,84,70,55.5625
Alien (1979),1979,117,SciFi,11,184,94,84,93,89,95,71.94444444
Aliens (1986),1986,137,SciFi,18.5,183,91,83,94,84,92,72.36842105
American Beauty,1999,122,Drama,15,356,89,83,87,84,90,60.94736842
Apocalypse Now,1979,147,War,31,92,96,84,90,94,97,75.88888889
Argo,2012,120,Drama,44.5,232,90,77,96,86,89,64.2
The Artist,2011,100,Drama,15,133,86,79,95,80,85,67.52631579
The Big Lebowski,1998,117,Comedy,15,46,87,81,83,71,88,75.10526316
Blue Velvet,1986,120,Thriller,6,8.6,92,78,94,75,91,69.83333333
Boyhood,2014,165,Drama,4,57,95,79,98,100,94,65.47368421
Call Me By Your Name,2017,132,Romance,3.5,43,91,79,94,93,90,65.05
Capote,2005,114,Biographical,7,49,86,74,88,83,87,70.6
Catch Me If You Can,2002,141,Crime,52,352,89,81,96,75,88,60.13333333
Children Of Men,2006,109,SciFi,76,70,92,79,92,84,93,79.44444444
Chinatown,1974,131,Mystery,6,29,97,82,98,89,96,73.70588235
City Of God (Cidade De Deus),2002,130,Crime,3.3,30,94,86,91,80,95,77.52941176
Coco,2017,105,Animation,175,814,95,84,97,81,94,66.42105263
Collateral,2004,120,Crime,65,220,87,75,86,80,86,71.36842105
Dallas Buyers Club,2013,117,Biographical,5,55,89,80,94,84,88,57.58823529
Donnie Darko,2001,113,SciFi,4.5,7.5,91,80,87,69,90,72.5
Drive,2011,100,Crime,15,81,92,78,93,80,91,63.5
Edward Scissorhands,1990,105,Fantasy,20,86,90,79,90,75,92,66.41176471
Ex Machina,2014,108,SciFi,15,37,91,77,92,78,90,67.125
Fargo,1996,98,Crime,7,60,94,81,94,85,93,74.57894737
Frances Ha,2012,86,Comedy,3,11,88,74,93,80,87,81.63157895
Full Metal Jacket,1987,116,War,30,120,93,83,91,76,94,65.05263158
Hacksaw Ridge,2016,139,War,40,180,83,81,86,71,84,69.4
Heat,1995,170,Crime,60,187,91,82,87,76,90,79.26315789
Hugo,2011,126,Adventure,150,185,89,75,93,83,88,68.76470588
The Incredibles,2004,115,Animation,92,631,95,80,97,90,96,65
Jaws,1975,124,Horror,9,476,96,80,98,87,97,68.84210526
Joker (2008,2008,152,Action,185,1005,97,90,94,84,98,75.75
Life Of Pi,2012,127,Adventure,120,609,88,79,87,79,87,60.83333333
Lincoln,2012,150,Biographical,65,275,87,73,89,86,88,75.72222222
Lost In Translation,2003,102,Drama,4,119,90,77,95,69,91,69.5
Memento,2000,113,Mystery,9,40,93,84,92,80,94,72.1
Million Dollar Baby,2004,132,Drama,30,217,89,81,89,76,90,73.31578947
Mystic River,2003,138,Crime,30,157,90,79,88,68,89,77.625
Pan?S Labyrinth,2006,118,Fantasy,19,83,97,82,95,98,96,69.94444444
Prisoners,2013,153,Crime,46,122,86,81,81,74,85,78.84210526
Requiem For A Dream,2000,102,Drama,4.5,7.4,92,83,79,66,91,71.68421053
Rocky,1976,120,Sports,1,225,91,81,93,70,92,75.10526316
Sicario,2015,122,Crime,30,85,90,76,93,84,91,66.88888889
Slumdog Millionaire,2008,120,Drama,15,378,87,80,91,86,88,61.06666667
The Silence Of The Lambs,1991,118,Horror,19,273,96,86,96,85,97,66.35
The Social Network,2010,120,Drama,40,225,92,77,96,95,93,73.5
