Title,Year,Runtime,Genre,Budget,Revenue,Personal,IMDb,Rotten_Tomatoes,Metacritic,Filmaffinity,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20
Mission: Impossible - Fallout,2018,148,Action,178,791,85,77,98,87,67,99,44,20,71,80,89,87,90,84,18,89,,14,76,78,87,72,94,81,76
Mission: Impossible - Ghost Protocol,2011,133,Action,145,694.7,95,74,94,73,61,55,26,,89,90,48,94,,41,29,91,84,,95,52,94,36,87,76,
Mission: Impossible - Rogue Nation,2015,131,Action,150,682.7,93,74,94,75,63,97,32,99,76,68,94,86,72,56,,,90,40,88,76,26,97,83,80,97
Mission: Impossible- The Final Reckoning,2025,169,Action,400,598,92,73,80,67,67,,78,28,78,82,77,95,88,70,80,94,90,100,51,96,31,89,,99,100
Moonlight,2016,111,Romance,1.5,65.3,78,74,98,99,70,93,82,45,95,62,81,69,86,83,83,83,91,86,45,78,80,95,86,,99
Nightcrawler,2014,117,Suspense,8.5,50.3,66,78,95,76,71,84,100,83,72,39,90,80,19,82,25,57,,98,90,79,31,61,,88,87
No Country for Old Men,2007,122,Suspense,25,171.6,94,82,93,91,79,36,,82,74,76,86,64,79,90,90,,98,98,92,82,27,88,51,17,69
Nop,2022,130,Horror,68,172.3,83,68,83,77,60,80,31,80,96,95,12,42,29,,91,,98,64,34,62,,22,94,60,84
Nosferatu,2024,132,Horror,50,181,56,72,84,78,67,36,87,77,76,36,34,,80,99,90,92,46,99,96,73,80,82,78,100,82
Nosferatu (1922),1922,94,Horror,,,78,78,97,90,76,41,92,64,100,88,82,,56,77,91,77,82,98,89,34,80,94,91,43,40
Oldboy ,2003,101,Thriller,3,17,80,83,82,77,86,66,0,59,98,79,89,99,61,78,84,83,97,83,79,88,,96,100,65,19
Oppenheimer,2023,180,Drama,100,976,95,83,93,93,86,87,64,,89,80,76,80,96,86,88,51,51,81,80,90,77,86,100,90,81
Pacific Rim,2013,131,Action,190,411.1,83,69,72,64,59,99,47,50,31,,98,85,74,70,87,98,89,90,98,,59,28,92,92,99
Parasite,2019,132,Thriller,11,258,24,85,99,96,86,51,86,100,80,38,83,90,100,44,84,13,17,100,77,56,84,50,80,80,60
Pulp fiction,1994,154,Crime,8,200,83,88,92,94,88,85,60,87,55,86,100,20,92,59,,100,77,95,62,94,49,79,44,27,80
Ratatouille,2007,111,Animation,150,623,91,81,96,96,80,80,84,86,96,81,95,16,90,88,79,53,84,96,83,,95,,82,78,89
Mickey 17,2025,139,SciFi,118,130,74,82,77,70,60,,,93,81,89,97,84,90,12,20,11,87,25,69,91,84,86,90,98,65
Saw,2004,103,Horror,1.2,104,59,76,50,46,72,70,94,31,88,81,69,95,12,64,88,97,89,41,98,,60,81,14,84,88
Scarface,1983,165,Crime,25,65.7,89,83,79,65,82,69,78,15,43,60,70,84,97,32,90,62,89,17,89,96,100,26,46,,75
Scream,1996,111,Horror,15,173,73,74,77,66,58,99,65,30,99,84,63,45,82,,83,25,81,57,,84,81,92,100,86,93
Se7en,1995,127,Thriller,33,327,90,86,81,86,86,100,,85,65,96,,83,66,80,92,96,93,99,98,34,81,88,99,82,78
Shrek,2001,89,Comedy,60,492,99,79,88,84,78,94,91,,73,79,89,88,76,79,85,95,90,76,77,,,79,,28,76
Shutter Island,2010,138,Thriller,80,294,69,82,68,65,78,70,,89,92,85,58,92,88,80,78,88,83,77,55,100,49,24,78,94,40
Sinners,2025,137,Thriller,100,365,60,76,55,60,76,94,,88,88,72,24,,79,65,16,84,98,90,50,95,,95,47,23,35
Spider-Man: Across the Spider-Verse,2018,140,Animation,150,690,90,85,94,87,82,75,95,95,11,,,96,,,98,93,77,48,41,81,31,60,97,47,14
Spider-Man: Into the Spider-Verse,2023,117,Animation,90,394,90,84,97,87,85,23,78,70,96,89,89,95,99,100,27,56,20,97,18,93,89,90,78,36,78
Spider-Man: No Way Home,2021,148,Action,200,1910,83,82,93,71,70,83,91,86,89,90,79,40,12,49,85,96,100,90,66,82,85,92,82,79,84
Star Wars: Episode I - The Phantom Menace ,1999,136,SciFi,115,775,73,65,54,51,62,,75,70,79,68,59,92,,,84,100,57,83,61,88,90,84,60,81,42
Star Wars: Episode II - Attack of the Clones,2002,142,SciFi,115,649,61,66,62,54,63,76,50,82,,82,38,97,22,77,76,37,84,35,22,75,96,76,78,53,81
Star Wars: Episode III - Revenge of the Sith,2005,140,SciFi,113,902.9,93,76,79,68,71,36,85,27,91,89,96,97,60,95,80,99,51,95,79,67,16,84,89,18,83
Star Wars: Episode IV - A New Hope,1977,121,SciFi,11,775,85,86,94,90,79,67,,92,53,80,20,27,48,19,67,79,80,93,86,24,,73,32,100,43
Spirited Away,2001,125,Animation,19,396,95,86,97,96,90,45,98,15,62,80,54,76,88,73,83,94,51,100,,85,75,97,84,48,
Taxi Driver,1976,114,Crime,1.3,28.5,75,82,89,94,81,81,84,62,80,29,86,98,81,86,97,55,70,94,88,86,92,50,100,,99
There will be blood,2007,158,Western,25,76.2,56,82,91,93,79,,96,23,54,,,98,92,,65,94,76,89,83,63,65,,59,,78
Ted,2012,106,Comedy,65,550,87,69,69,62,55,83,62,58,,96,88,85,84,35,97,89,20,45,85,,85,81,78,76,85
Ted 2,2015,116,Comedy,68,216.7,76,63,45,48,51,91,80,,74,93,41,20,88,91,,82,77,26,39,74,94,81,79,28,44
Terminator 1,1984,107,Action,6.4,78.4,79,81,100,84,75,60,83,27,48,80,68,97,,,34,87,,20,63,87,33,90,96,88,32
The Babadook,2014,94,Horror,2,10.3,36,68,98,86,61,99,14,,86,80,100,63,60,89,,59,95,55,86,57,79,94,20,60,100
The Batman,2022,176,Action,200,772,70,78,85,72,74,54,81,79,80,76,87,99,,89,18,76,54,88,99,,72,80,85,70,85
The Big Short,2015,130,Comedy,28,133.4,45,78,89,81,72,91,35,,77,70,69,13,21,82,100,82,83,37,86,77,67,14,16,55,87
The Breakfast Club,1985,97,Comedy,6,51.5,65,78,89,66,72,89,87,98,98,100,39,46,92,34,,22,68,,40,100,15,23,51,,20
The Fantastic Four: First Steps,2025,115,SciFi,200,493,82,73,87,65,65,92,98,79,27,34,81,,32,86,99,80,95,21,88,88,95,72,43,33,70
The Godfather,1972,175,Crime,6.5,291,99,92,97,100,89,60,75,78,86,93,70,100,55,45,100,81,76,32,66,83,96,86,93,100,93
The Grand Budapest Hotel,2014,99,Comedy,25,174,100,81,91,88,84,63,50,83,96,97,58,,76,82,,96,85,92,,95,43,91,16,91,
The Hunt,2020,90,Action,14,12,78,83,93,76,76,83,79,88,78,98,24,74,84,99,,99,30,76,,93,13,94,93,,93
The Hurt Locker,2008,131,Suspense,15,49.2,74,75,97,95,69,0,,23,29,78,34,61,80,,86,100,27,,69,85,92,88,59,63,76
The Imitation Game,2014,116,Suspense,14,233.6,56,80,90,71,73,39,,33,,76,44,93,12,89,,84,86,71,17,23,100,86,80,88,76
The Joker (2019),2019,122,Suspense,55,1074.3,84,83,69,59,79,84,26,32,82,89,87,82,93,,35,77,74,96,88,94,88,11,,36,81
The King's Speech,2010,118,Drama,15,432.4,78,80,94,88,73,91,,91,51,55,,59,88,96,59,65,27,12,81,36,94,85,93,,
The Light House,2019,110,Horror,4,18.1,65,74,90,83,67,,95,49,65,99,,45,76,91,22,60,94,97,77,79,100,53,70,90,82
The Lion King,1994,129,Family,45,968.5,89,85,93,88,76,73,,60,83,55,70,61,76,,93,96,72,18,93,38,97,24,77,15,99
The Martian,2015,151,SciFi,108,630.2,76,80,91,80,74,64,79,90,27,95,94,41,61,60,,76,90,,84,79,85,16,43,78,93
The Matrix,1999,136,SciFi,63,460,70,87,87,73,88,43,27,92,47,97,60,,80,,,89,41,98,80,79,87,,95,36,37
The Menu,2022,107,Horror,30,79,60,72,77,75,70,90,96,21,93,84,87,98,59,33,64,78,15,80,76,22,93,,84,91,26
The Perks of Being a Wallflower,2012,103,Drama,13,33,75,79,85,67,80,,45,79,94,21,79,79,76,87,19,81,100,96,23,84,91,20,98,87,59
The Prestige,2006,130,Suspense,40,109.7,76,85,76,66,77,23,37,77,87,20,56,,,80,,85,,85,30,56,79,,38,76,80
The Revenant,2015,156,Western,135,532.9,79,80,78,76,72,76,20,76,,96,61,35,100,87,15,90,12,40,99,29,94,15,77,100,72
The Shape of Water,2017,123,Romance,19.5,195.2,80,73,92,87,67,27,,83,84,84,54,79,53,91,36,34,82,29,99,91,12,79,,76,79
The Shining,1980,146,Horror,19,45,70,84,82,66,86,72,86,100,97,76,89,62,14,14,91,,83,62,98,28,82,78,92,92,97
The Substance,2024,141,Horror,18,82,80,72,92,84,72,,24,,30,42,45,97,,54,76,80,28,,40,60,17,83,89,87,80
The Theory of Everything,2014,123,Romance,15,123.7,72,77,81,72,68,14,89,99,36,81,89,,84,87,88,68,87,89,98,55,86,91,85,88,86
The Thing,1982,109,Horror,15,20,71,82,85,57,73,100,51,60,40,86,81,99,96,67,100,84,84,82,82,38,19,22,78,,89
The Truman Show,1998,103,Drama,60,264,65,82,95,90,84,54,81,78,68,32,38,75,97,,89,83,39,88,92,,83,53,100,90,56
The Wolf of Wall Street,2013,180,Crime,100,389,90,82,80,75,84,,95,,45,93,61,60,60,80,83,63,87,83,100,94,,78,56,54,85
Titanic,1997,194,Romance,200,2201.6,88,79,88,75,75,82,98,90,59,39,81,54,,95,93,16,99,74,13,70,22,81,99,91,51
Toy Story,1995,81,Animation,30,362,97,83,100,96,77,91,69,63,99,51,83,28,,76,98,85,90,49,95,90,97,81,99,,89
Toy Story 2,1999,92,Animation,90,511.4,98,79,100,88,71,78,78,35,79,95,79,100,61,47,74,99,86,31,76,95,91,61,80,88,29
Toy Story 3,2010,103,Animation,200,1067,89,83,98,92,79,34,76,70,81,92,43,97,96,49,,95,44,,45,60,94,,19,50,57
Toy Story 4,2019,100,Animation,200,1073,83,76,96,84,70,51,77,36,,64,26,47,,75,53,,83,40,,60,77,33,82,31,54
Tron: Legacy,2010,125,SciFi,170,409.9,77,68,51,49,56,46,88,93,84,54,98,80,81,61,64,80,84,82,89,87,86,34,26,90,91
Whiplash,2014,106,Drama,3,50,30,85,94,88,84,31,53,96,,,59,100,91,,43,82,57,,94,84,83,,100,96,99
Alien (1979),1979,117,SciFi,11,184,94,84,93,89,95,48,87,86,99,72,25,62,97,99,,93,79,36,89,,43,91,56,84,49
Aliens (1986),1986,137,SciFi,18.5,183,91,83,94,84,92,60,90,88,19,14,,98,94,100,98,85,76,67,13,78,99,83,92,34,87
American Beauty,1999,122,Drama,15,356,89,83,87,84,90,13,58,41,93,97,65,80,87,19,73,77,89,38,,89,97,14,13,100,15
Apocalypse Now,1979,147,War,31,92,96,84,90,94,97,95,,,20,93,38,86,31,96,84,86,55,93,84,79,92,58,97,100,79
Argo,2012,120,Drama,44.5,232,90,77,96,86,89,77,72,100,76,80,63,80,40,20,88,23,81,79,60,95,13,54,68,36,79
The Artist,2011,100,Drama,15,133,86,79,95,80,85,55,16,81,95,33,86,100,91,89,85,80,86,92,92,77,,46,18,13,48
The Big Lebowski,1998,117,Comedy,15,46,87,81,83,71,88,98,90,60,81,80,53,97,89,86,22,51,,63,76,54,85,86,92,76,88
Blue Velvet,1986,120,Thriller,6,8.6,92,78,94,75,91,100,,99,94,14,100,89,15,20,97,91,83,46,15,76,,92,91,79,56
Bohemian Rhapsody,2018,134,Biographical,55,910,72,79,60,49,70,88,92,,97,87,23,,84,73,98,35,95,77,80,84,96,67,75,83,
Boyhood,2014,165,Drama,4,57,95,79,98,100,94,94,95,27,,22,48,65,80,53,25,16,98,65,60,86,82,87,74,82,85
Call Me by Your Name,2017,132,Romance,3.5,43,91,79,94,93,90,53,29,35,62,76,90,55,80,25,71,76,33,97,95,98,20,95,100,92,19
Capote,2005,114,Biographical,7,49,86,74,88,83,87,99,96,57,100,13,100,92,64,77,47,93,88,13,82,19,91,20,83,98,80
Catch Me If You Can,2002,141,Crime,52,352,89,81,96,75,88,88,45,68,,,86,95,47,,25,80,35,46,73,91,33,,,21,69
Children of Men,2006,109,SciFi,76,70,92,79,92,84,93,92,99,92,,65,66,76,83,88,31,89,95,55,,46,97,80,99,87,90
Chinatown,1974,131,Mystery,6,29,97,82,98,89,96,,0,91,84,91,56,,,78,99,34,96,96,79,38,89,100,93,94,35
City of God (Cidade de Deus),2002,130,Crime,3.3,30,94,86,91,80,95,62,81,95,,90,100,76,97,25,95,,80,80,72,,95,55,56,82,77
Coco,2017,105,Animation,175,814,95,84,97,81,94,91,21,76,52,85,75,96,40,81,30,100,16,,86,76,86,68,94,11,78
Collateral,2004,120,Crime,65,220,87,75,86,80,86,,77,85,92,17,92,86,18,91,47,64,53,77,91,85,97,25,82,85,92
Dallas Buyers Club,2013,117,Biographical,5,55,89,80,94,84,88,78,83,11,83,81,77,,47,16,93,,30,19,28,85,,41,17,90,100
Donnie Darko,2001,113,SciFi,4.5,7.5,91,80,87,69,90,84,86,18,23,88,97,62,81,99,82,79,100,32,99,74,77,83,90,77,19
Drive,2011,100,Crime,15,81,92,78,93,80,91,60,100,82,53,93,46,94,98,33,60,,49,11,86,16,15,100,,64,83
Edward Scissorhands,1990,105,Fantasy,20,86,90,79,90,75,92,47,91,61,80,96,55,86,,96,84,31,85,17,16,,40,58,,89,97
Ex Machina,2014,108,SciFi,15,37,91,77,92,78,90,55,80,17,,90,23,70,83,,85,93,11,,95,40,,92,76,84,80
Fargo,1996,98,Crime,7,60,94,81,94,85,93,80,76,94,87,44,38,64,90,81,89,72,79,94,57,80,81,,83,42,86
Frances Ha,2012,86,Comedy,3,11,88,74,93,80,87,94,94,90,85,89,91,90,100,86,97,20,78,,86,97,82,80,31,82,79
Frozen,2013,102,Animation,150,1280,86,74,90,75,85,,90,100,93,77,,82,84,84,92,,63,93,20,50,90,90,,85,92
Full Metal Jacket,1987,116,War,30,120,93,83,91,76,94,47,12,97,65,72,39,88,95,93,52,79,,96,29,78,16,80,94,78,26
The Green Mile,1999,189,Fantasy,60,286,87,86,79,61,88,84,88,97,92,,99,70,,53,24,47,20,55,100,77,63,97,79,60,88
Hacksaw Ridge,2016,139,War,40,180,83,81,86,71,84,62,83,94,18,81,96,49,80,75,78,32,51,91,40,85,25,82,89,97,80
Heat,1995,170,Crime,60,187,91,82,87,76,90,79,86,91,95,78,52,88,98,43,85,95,78,80,11,93,,83,93,78,100
Hugo,2011,126,Adventure,150,185,89,75,93,83,88,90,,93,,12,83,84,83,65,69,76,92,,48,44,86,12,91,95,46
The Incredibles,2004,115,Animation,92,631,95,80,97,90,96,86,17,53,94,13,90,13,97,97,34,20,37,96,64,99,97,,91,94,43
Jaws,1975,124,Horror,9,476,96,80,98,87,97,76,88,83,56,82,83,91,81,43,0,17,86,,97,82,88,41,41,84,89
Joker: Folie ? Deux (2024),2024,138,Thriller,200,521,80,52,68,59,82,92,67,100,42,88,26,39,97,79,100,95,87,,,66,85,96,77,96,92
Joker (2008,2008,152,Action,185,1005,97,90,94,84,98,92,,,53,90,99,94,,80,46,93,82,97,,93,94,66,23,15,95
Life of Pi,2012,127,Adventure,120,609,88,79,87,79,87,84,90,92,27,58,83,77,31,93,92,,30,13,79,24,23,76,,98,25
Lincoln,2012,150,Biographical,65,275,87,73,89,86,88,100,83,75,93,81,66,86,81,89,37,,92,17,,79,80,89,85,98,32
Lost in Translation,2003,102,Drama,4,119,90,77,95,69,91,27,,36,87,65,29,96,58,99,77,84,89,92,,90,86,100,32,22,82
Memento,2000,113,Mystery,9,40,93,84,92,80,94,37,90,54,89,33,98,83,70,94,79,86,79,76,26,99,81,86,54,45,83
Million Dollar Baby,2004,132,Drama,30,217,89,81,89,76,90,89,89,80,,48,94,97,30,34,57,79,99,95,21,60,99,89,95,76,62
Mystic River,2003,138,Crime,30,157,90,79,88,68,89,84,81,96,14,32,90,,95,87,97,76,80,90,,58,79,88,,95,
Pan?s Labyrinth,2006,118,Fantasy,19,83,97,82,95,98,96,94,98,,43,40,14,93,84,97,22,99,89,76,40,90,22,,68,91,99
Prisoners,2013,153,Crime,46,122,86,81,81,74,85,80,86,83,40,78,91,98,66,96,46,95,85,63,37,83,90,100,89,92,
Requiem for a Dream,2000,102,Drama,4.5,7.4,92,83,79,66,91,93,91,29,98,37,20,99,81,84,50,81,91,61,92,59,,57,56,92,91
Rocky,1976,120,Sports,1,225,91,81,93,70,92,92,87,,78,98,39,54,78,79,99,42,76,83,34,82,56,96,70,97,87
